label;from;to;LATITUDE;LONGITUDE
Cobertura_Vegetal;2016;2017;-26.916730000000001;-52.481862000000000
Cobertura_Vegetal;2016;2017;-26.918624000000001;-52.467188000000000
Cobertura_Vegetal;2016;2017;-26.908294000000001;-52.478321999999999
Cobertura_Vegetal;2016;2017;-26.909098000000000;-52.456761999999998
Cobertura_Vegetal;2016;2017;-26.909786000000000;-52.488233000000001
Cobertura_Vegetal;2016;2017;-26.891420000000000;-52.470277000000003
Cobertura_Vegetal;2016;2017;-26.896298999999999;-52.470084000000000
Cobertura_Vegetal;2016;2017;-26.897160000000000;-52.459142999999997
Cobertura_Vegetal;2016;2017;-26.886828000000001;-52.463777000000000
Cobertura_Vegetal;2016;2017;-26.880054000000001;-52.473173000000003
Cobertura_Vegetal;2016;2017;-26.884532000000000;-52.452449999999999
Cobertura_Vegetal;2016;2017;-26.875060000000001;-52.471950999999997
Cobertura_Vegetal;2016;2017;-26.870065000000000;-52.459465000000002
Cobertura_Vegetal;2016;2017;-26.866849999999999;-52.485337000000001
Cobertura_Vegetal;2016;2017;-26.863060999999998;-52.465772000000001
Cobertura_Vegetal;2016;2017;-26.863291000000000;-52.454059000000001
Cobertura_Vegetal;2016;2017;-26.856515999999999;-52.468088999999999
Cobertura_Vegetal;2016;2017;-26.844113000000000;-52.486978000000001
Cobertura_Vegetal;2016;2017;-26.853874999999999;-52.486398999999999
Cobertura_Vegetal;2016;2017;-26.835155000000000;-52.485948999999998
Cobertura_Vegetal;2016;2017;-26.835155000000000;-52.454027000000004
Cobertura_Vegetal;2016;2017;-26.843883000000002;-52.462778999999998
Cobertura_Vegetal;2016;2017;-26.827228999999999;-52.480091999999999
Cobertura_Vegetal;2016;2017;-26.827510000000000;-52.452559000000001
Cobertura_Vegetal;2016;2017;-26.825154999999999;-52.457470000000001
Cobertura_Vegetal;2016;2017;-26.823620999999999;-52.473368999999998
Cobertura_Vegetal;2016;2017;-26.851227000000002;-52.446849999999998
Cobertura_Vegetal;2016;2017;-26.841532999999998;-52.435310000000001
Cobertura_Vegetal;2016;2017;-26.827673999999998;-52.423892000000002
Cobertura_Vegetal;2016;2017;-26.835014999999999;-52.418734999999998
Cobertura_Vegetal;2016;2017;-26.846900000000002;-52.424751000000001
Cobertura_Vegetal;2016;2017;-26.850404999999999;-52.418244000000001
Cobertura_Vegetal;2016;2017;-26.841642000000000;-52.411614000000000
Cobertura_Vegetal;2016;2017;-26.854239000000000;-52.406765000000000
Cobertura_Vegetal;2016;2017;-26.851171999999998;-52.397495999999997
Cobertura_Vegetal;2016;2017;-26.851171999999998;-52.387918999999997
Cobertura_Vegetal;2016;2017;-26.860208000000000;-52.380737000000003
Cobertura_Vegetal;2016;2017;-26.862069999999999;-52.384973000000002
Cobertura_Vegetal;2016;2017;-26.877238999999999;-52.379570999999999
Cobertura_Vegetal;2016;2017;-26.859935000000000;-52.425671999999999
Cobertura_Vegetal;2016;2017;-26.870832000000000;-52.431196999999997
Cobertura_Vegetal;2016;2017;-26.859058000000001;-52.431871999999998
Cobertura_Vegetal;2016;2017;-26.884520999999999;-52.426347000000000
Cobertura_Vegetal;2016;2017;-26.893554000000002;-52.436782999999998
Cobertura_Vegetal;2016;2017;-26.893445000000000;-52.424874000000003
Cobertura_Vegetal;2016;2017;-26.903079999999999;-52.427819999999997
Cobertura_Vegetal;2016;2017;-26.913042999999998;-52.415849999999999
